Designator,Mid X,Mid Y,Layer,Rotation
R68,70.4125,-167.45625,top,180
R69,69.7,-191.8125,top,0
R7,134,-186.344,top,-90
R70,70.4125,-175.45625,top,0
R71,69.7,-194.8125,top,0
R72,70.5,-178.45625,top,0
R73,60.51,-153.0875,top,-90
R76,97.5,-61,top,-90
R77,92.5,-154.0875,top,90
R78,89,-154.0875,top,90
R79,175,-189.75,top,90
R8,64,-167,top,0
R80,178.25,-189.75,top,90
R801,90.7285,-175.168,top,0
R802,191.209,-193.8135,top,90
R803,194.003,-194.98,top,0
R804,194.765,-164.53,top,0
R806,198.6785,-190.916,top,0
R807,194.765,-169.072,top,180
R81,84.5,-60.5,top,0
R82,161,-187.95,top,90
R83,101.5,-188.95,top,90
R84,160,-201,top,-90
R88,67.5,-61.5,top,0
R9,80.5,-63.5,top,180
R91,104.0875,-70.99,top,0
R92,104.0875,-73.5,top,0
R97,173.5,-72.75,top,90
R98,173.4125,-61.54,top,90
R99,162,-149.25,top,90
S1,88.75,-52.75,top,0
S2,68,-219.75,top,180
TP_CIPO1,92.022,-149.514,top,0
TP_COPI1,89.863,-171.358,top,0
TP_SCL1,149.045,-164.5,top,0
TP_SCL2,170.254,-47.66,top,0
TP_SD_DET1,97.991,-166.532,top,0
TP_SDA1,157.3,-165.77,top,0
TP_SDA2,165.682,-59.344,top,0
TP_SPI_SCK1,85.291,-170.342,top,0
TP_VIN1,97.61,-64.932,top,0
TP1,55,-196.75,top,0
TP10,163,-205.75,top,180
TP11,53,-120.5,top,0
TP17,63,-163,top,90
TP18,63.5,-188,top,90
TP19,68.5,-163,top,0
TP2,103.25,-61,top,90
TP20,64.5,-54.75,top,0
TP201,199.845,-200.06,top,180
TP21,184.859,-46.644,top,0
TP3,103,-65,top,0
TP4,60.5,-60,top,0
TP5,161.237,-217.332,top,180
TP6,141,-188.95,top,180
TP7,114.5,-188.95,top,180
TP8,86,-188.95,top,180
TP9,163,-211.45,top,180
TP999,2.025,-2.025,top,0
TPSwitched_Fan_Power1,58,-120.5,top,0
